"animal_id","name","datetime","datetime2","found_location","intake_type","intake_condition","animal_type","sex_upon_intake","age_upon_intake","breed","color"
"A895678","Bean","2024-01-02T14:37:00.000","2024-01-02T14:37:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 year","Domestic Shorthair","Brown Tabby/White"
"A765182","Dino","2024-01-02T16:01:00.000","2024-01-02T16:01:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","7 years","Labrador Retriever","Black/White"
"A895689","Girl","2024-01-02T16:58:00.000","2024-01-02T16:58:00.000","701 Center Ridge Drive in Austin (TX)","Stray","Normal","Dog","Intact Female","7 months","Pit Bull","White/Brown"
"A858212","Dinkum","2024-01-02T17:19:00.000","2024-01-02T17:19:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","1 year","Domestic Shorthair Mix","Cream Tabby"
"A895692","Chip","2024-01-02T18:00:00.000","2024-01-02T18:00:00.000","9Th St And Baylor in Austin (TX)","Stray","Normal","Dog","Intact Male","4 years","Cairn Terrier","Tan"
"A895696","Lalay","2024-01-02T18:30:00.000","2024-01-02T18:30:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 years","Domestic Shorthair","Brown Tabby"
"A895629","Dutches","2024-01-02T21:05:00.000","2024-01-02T21:05:00.000","11511 Angus Rd in Travis (TX)","Abandoned","Normal","Dog","Intact Female","2 years","Pit Bull","Black/White"
"A895697","Rose","2024-01-02T23:25:00.000","2024-01-02T23:25:00.000","9124 Fainwood Ln in Austin (TX)","Public Assist","Normal","Cat","Spayed Female","10 years","Siamese Mix","Seal Point"
"A895698","Linda","2024-01-02T23:25:00.000","2024-01-02T23:25:00.000","9124 Fainwood Ln in Austin (TX)","Public Assist","Normal","Cat","Spayed Female","7 years","Domestic Shorthair","Black/Black"
"A895691","Romeo","2024-01-03T07:37:00.000","2024-01-03T07:37:00.000","2217 Klattenhoff Drive in Austin (TX)","Owner Surrender","Injured","Dog","Intact Male","5 months","Labrador Retriever/Pit Bull","Black"
"A895710",,"2024-01-03T08:05:00.000","2024-01-03T08:05:00.000","Wilhelmina Delco in Austin (TX)","Stray","Normal","Dog","Intact Female","1 month","Golden Retriever/Cocker Spaniel","Buff/White"
"A895723",,"2024-01-03T11:20:00.000","2024-01-03T11:20:00.000","8194 Taza Trail in Austin (TX)","Stray","Normal","Cat","Unknown","8 months","Domestic Shorthair","Black/White"
"A895728",,"2024-01-03T11:20:00.000","2024-01-03T11:20:00.000","8194 Taza Trail in Austin (TX)","Stray","Normal","Cat","Unknown","5 months","Domestic Shorthair","Brown Tabby"
"A895736","Toshiro","2024-01-03T12:48:00.000","2024-01-03T12:48:00.000","7201 Levander Loop in Austin (TX)","Stray","Normal","Cat","Intact Male","3 years","Domestic Shorthair","Brown Tabby/White"
"A895739","Ivy","2024-01-03T12:53:00.000","2024-01-03T12:53:00.000","Travis (TX)","Owner Surrender","Normal","Dog","Intact Female","5 years","Collie Rough Mix","Black/Brown"
"A895744","*Calzone","2024-01-03T13:16:00.000","2024-01-03T13:16:00.000","Austin (TX)","Stray","Normal","Dog","Intact Male","6 years","Rottweiler Mix","Black/Brown"
"A895743","*Artemist","2024-01-03T13:57:00.000","2024-01-03T13:57:00.000","1015 East Yager Lane in Austin (TX)","Stray","Injured","Dog","Intact Male","4 years","Pit Bull","Brown/Tan"
"A895748","Cooper","2024-01-03T14:20:00.000","2024-01-03T14:20:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","2 years","Cardigan Welsh Corgi","Brown"
"A895750","*Thumbelina","2024-01-03T14:30:00.000","2024-01-03T14:30:00.000","2954 Higgins Street in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Shorthair","Brown Tabby"
"A895751","*Sassifras","2024-01-03T14:30:00.000","2024-01-03T14:30:00.000","2954 Higgins Street in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair","Black"
"A895752","*Katerina","2024-01-03T14:30:00.000","2024-01-03T14:30:00.000","2954 Higgins Street in Austin (TX)","Stray","Normal","Cat","Spayed Female","4 years","Domestic Shorthair","Brown Tabby/White"
"A895775","Jade","2024-01-03T14:35:00.000","2024-01-03T14:35:00.000","Murchison St And San Marcos St in Manor (TX)","Stray","Normal","Dog","Intact Male","2 years","Standard Poodle/Labrador Retriever","White"
"A895776","Pierre","2024-01-03T14:35:00.000","2024-01-03T14:35:00.000","Murchison St And San Marcos St in Manor (TX)","Stray","Normal","Dog","Intact Male","2 years","Standard Poodle/Labrador Retriever","Brown/Silver"
"A895757","*Polly","2024-01-03T15:05:00.000","2024-01-03T15:05:00.000","8709 Fm 969 in Austin (TX)","Stray","Normal","Dog","Intact Female","3 years","Australian Cattle Dog","Red Tick"
"A869087","Stella","2024-01-03T15:10:00.000","2024-01-03T15:10:00.000","7303 Callbran Lane in Austin (TX)","Stray","Normal","Dog","Spayed Female","2 years","Labrador Retriever/Queensland Heeler","White/Red"
"A889595","Ayla","2024-01-03T15:45:00.000","2024-01-03T15:45:00.000","Sixty-Six And A Half Ed Bluestein Boulevard in Austin (TX)","Stray","Normal","Dog","Spayed Female","4 months","German Shepherd Mix","Tan/Black"
"A895766","Canelo","2024-01-03T16:39:00.000","2024-01-03T16:39:00.000","Austin (TX)","Owner Surrender","Sick","Dog","Neutered Male","5 years","Chihuahua Shorthair","Tan"
"A753614","Delila","2024-01-03T16:55:00.000","2024-01-03T16:55:00.000","2900 South Lakeline Blvd in Cedar Park (TX)","Public Assist","Normal","Dog","Spayed Female","7 years","Dachshund Mix","Tricolor"
"A895769",,"2024-01-03T17:22:00.000","2024-01-03T17:22:00.000","Austin Animal Center in Austin (TX)","Abandoned","Normal","Dog","Intact Male","4 weeks","Labrador Retriever Mix","Black/White"
"A895772","*Leonardo","2024-01-03T17:22:00.000","2024-01-03T17:22:00.000","Austin Animal Center in Austin (TX)","Abandoned","Normal","Dog","Intact Male","4 weeks","Labrador Retriever Mix","Tan/Black"
"A895773","*April","2024-01-03T17:22:00.000","2024-01-03T17:22:00.000","Austin Animal Center in Austin (TX)","Abandoned","Normal","Dog","Intact Female","4 weeks","Labrador Retriever Mix","Brown/Black"
"A895774","*Michelangelo","2024-01-03T17:23:00.000","2024-01-03T17:23:00.000","Austin Animal Center in Austin (TX)","Abandoned","Normal","Dog","Intact Male","4 weeks","Labrador Retriever Mix","Brown/Black"
"A895771","*Raphael","2024-01-03T17:23:00.000","2024-01-03T17:23:00.000","Austin Animal Center in Austin (TX)","Abandoned","Normal","Dog","Intact Male","4 weeks","Labrador Retriever Mix","Black"
"A895778","Feleena (Felly)","2024-01-03T17:32:00.000","2024-01-03T17:32:00.000","427 Marlock Ridge in Travis (TX)","Stray","Normal","Cat","Spayed Female","2 years","Domestic Shorthair","Tortie/White"
"A894265","Gizmo","2024-01-03T18:01:00.000","2024-01-03T18:01:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","5 years","Domestic Shorthair","Orange Tabby"
"A895787","Chicken Noodle","2024-01-03T18:22:00.000","2024-01-03T18:22:00.000","Suburban Drive And Rowland Drive in Austin (TX)","Stray","Normal","Dog","Neutered Male","4 years","Plott Hound Mix","Black Brindle"
"A895789","A895789","2024-01-03T23:31:00.000","2024-01-03T23:31:00.000","9317 Kempler Drive in Austin (TX)","Stray","Sick","Dog","Intact Male","2 years","Border Collie","Tricolor"
"A895792",,"2024-01-04T07:11:00.000","2024-01-04T07:11:00.000","9810 Old Lockhart Road in Austin (TX)","Stray","Injured","Dog","Intact Male","3 years","Jack Russell Terrier Mix","Tan/White"
"A895793",,"2024-01-04T08:29:00.000","2024-01-04T08:29:00.000","1401 Calandendra Drive in Austin (TX)","Stray","Sick","Cat","Intact Male","4 months","Domestic Longhair","Brown Tabby/White"
"A873987","Dice","2024-01-04T11:08:00.000","2024-01-04T11:08:00.000","3201 Century Park Blvd in Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","2 years","Pit Bull","Blue/White"
"A895802","*Everest","2024-01-04T11:11:00.000","2024-01-04T11:11:00.000","4512 Frontier Trail in Austin (TX)","Stray","Injured","Cat","Intact Male","3 years","Domestic Shorthair","Black"
"A895804",,"2024-01-04T11:21:00.000","2024-01-04T11:21:00.000","Overbrook Dr And E 51St St in Austin (TX)","Stray","Normal","Dog","Intact Female","4 months","Siberian Husky Mix","White/Buff"
"A895801","Venus De Milo","2024-01-04T11:33:00.000","2024-01-04T11:33:00.000","909 Gunter Street in Austin (TX)","Stray","Normal","Dog","Intact Female","2 years","Pit Bull Mix","Blue/White"
"A895805","Willie","2024-01-04T11:54:00.000","2024-01-04T11:54:00.000","4307 James Casey St in Austin (TX)","Stray","Normal","Cat","Neutered Male","2 years","Siamese Mix","Seal Point"
"A895810",,"2024-01-04T12:17:00.000","2024-01-04T12:17:00.000","11510 Fm 969 in Travis (TX)","Stray","Normal","Dog","Intact Male","6 months","Maltese","White"
"A895808","Castiel","2024-01-04T12:28:00.000","2024-01-04T12:28:00.000","1005 E 8Th St in Austin (TX)","Stray","Normal","Cat","Intact Male","5 months","Domestic Shorthair","Brown Tabby"
"A895809",,"2024-01-04T12:28:00.000","2024-01-04T12:28:00.000","1005 E 8Th St in Austin (TX)","Stray","Normal","Cat","Intact Male","5 months","Domestic Shorthair","Brown Tabby"
"A895817","*Maha","2024-01-04T13:41:00.000","2024-01-04T13:41:00.000","15000 Maha Rd in Travis (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair","Brown Tabby"
"A895812","Mouse","2024-01-04T14:00:00.000","2024-01-04T14:00:00.000","4807 Flicker Cove in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","St. Bernard Smooth Coat","White/Brown"
"A895818","Draco","2024-01-04T14:11:00.000","2024-01-04T14:11:00.000","Pennsylvania Ave in Austin (TX)","Stray","Normal","Dog","Intact Male","5 years","English Bulldog","White"
"A895821","Haptic","2024-01-04T14:40:00.000","2024-01-04T14:40:00.000","427 Marlock Ridge in Travis (TX)","Stray","Normal","Cat","Intact Male","7 months","Domestic Shorthair","Orange Tabby/White"
"A895819","Molly","2024-01-04T15:12:00.000","2024-01-04T15:12:00.000","Travis (TX)","Owner Surrender","Normal","Dog","Spayed Female","5 months","Golden Retriever","Tan/White"
"A873250","*Flan","2024-01-04T17:37:00.000","2024-01-04T17:37:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 years","Domestic Shorthair","Orange Tabby"
"A895829","Baby","2024-01-04T18:33:00.000","2024-01-04T18:33:00.000","1941 Gaston Place Dr in Austin (TX)","Public Assist","Normal","Dog","Intact Female","5 years","Maltese/Toy Poodle","White/Black"
"A895837","A895837","2024-01-05T07:31:00.000","2024-01-05T07:31:00.000","Ih35 Sb in Austin (TX)","Stray","Injured","Dog","Intact Female","1 year","Pit Bull Mix","Black/White"
"A895846","Davey Jay","2024-01-05T09:11:00.000","2024-01-05T09:11:00.000","Duncan Ln And Kim Lane Dog Park in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","Belgian Malinois/Siberian Husky","Brown/Black"
"A895848","Perico","2024-01-05T10:20:00.000","2024-01-05T10:20:00.000","100 Blk S Lockhart St in Caldwell (TX)","Public Assist","Normal","Dog","Intact Male","1 year","Mastiff","White/White"
"A895850","Luca","2024-01-05T10:25:00.000","2024-01-05T10:25:00.000","100 Blk S Lockhart in Caldwell (TX)","Public Assist","Normal","Dog","Intact Male","1 year","Plott Hound/German Shepherd","Brown/Black"
"A895852","Mochi","2024-01-05T10:55:00.000","2024-01-05T10:55:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","1 year","Chihuahua Longhair","Black/Tan"
"A895853","Chiquitin","2024-01-05T10:55:00.000","2024-01-05T10:55:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Male","5 years","Chihuahua Longhair","White/Brown"
"A895856","Chai","2024-01-05T11:01:00.000","2024-01-05T11:01:00.000","Ed Acklin Rd in Travis (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair","Tortie"
"A895857",,"2024-01-05T11:28:00.000","2024-01-05T11:28:00.000","3704 Commerce St in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair","Blue Tabby"
"A895860","Sheba","2024-01-05T11:51:00.000","2024-01-05T11:51:00.000","9200 Mckenzie Rd in Austin (TX)","Stray","Injured","Dog","Intact Female","2 years","Alaskan Husky","Black/White"
"A895862",,"2024-01-05T12:18:00.000","2024-01-05T12:18:00.000","Bethune Ave in Austin (TX)","Stray","Sick","Dog","Intact Male","1 month","Chihuahua Shorthair","White"
"A895865","Sasha","2024-01-05T12:25:00.000","2024-01-05T12:25:00.000","1807 W Braker Ln in Austin (TX)","Stray","Normal","Dog","Intact Female","1 month","Great Dane","White"
"A895866","*Chatty Chad","2024-01-05T12:53:00.000","2024-01-05T12:53:00.000","8104 Taza Trl in Austin (TX)","Stray","Normal","Cat","Intact Male","2 years","Domestic Shorthair","White/Brown Tabby"
"A895867",,"2024-01-05T12:53:00.000","2024-01-05T12:53:00.000","8104 Taza Trl in Austin (TX)","Stray","Normal","Cat","Unknown","2 years","Domestic Shorthair","Brown Tabby"
"A895859","Piper","2024-01-05T13:09:00.000","2024-01-05T13:09:00.000","508 E Howard Ln in Travis (TX)","Stray","Normal","Dog","Spayed Female","3 years","Yorkshire Terrier","White/White"
"A883338","Duke","2024-01-05T13:30:00.000","2024-01-05T13:30:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","1 year","German Shepherd","Black/Brown"
"A895871","Happy","2024-01-05T13:35:00.000","2024-01-05T13:35:00.000","W Courtyard Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","3 months","Domestic Medium Hair","Orange Tabby"
"A895870",,"2024-01-05T13:51:00.000","2024-01-05T13:51:00.000","1034 Clayton Ln in Austin (TX)","Stray","Sick","Cat","Intact Female","3 months","Domestic Shorthair","Black"
"A892867","*Orion","2024-01-05T14:01:00.000","2024-01-05T14:01:00.000","Outside Jurisdiction","Owner Surrender","Normal","Dog","Neutered Male","11 months","Pit Bull","Black Brindle"
"A895874",,"2024-01-05T14:06:00.000","2024-01-05T14:06:00.000","Outside Jurisdiction","Stray","Normal","Cat","Intact Female","3 months","Domestic Shorthair","Flame Point"
"A895875","*Cleo","2024-01-05T14:06:00.000","2024-01-05T14:06:00.000","Outside Jurisdiction","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair","Blue"
"A895872","*Tegan","2024-01-05T14:20:00.000","2024-01-05T14:20:00.000","Elroy Rd in Travis (TX)","Stray","Normal","Dog","Intact Female","1 month","Border Collie Mix","Chocolate"
"A895873","*Sara","2024-01-05T14:20:00.000","2024-01-05T14:20:00.000","Elroy Rd in Travis (TX)","Stray","Normal","Dog","Intact Female","1 month","Border Collie Mix","Black/White"
"A890341","Clover","2024-01-05T14:37:00.000","2024-01-05T14:37:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","8 months","Domestic Shorthair","Brown Tabby"
"A895880",,"2024-01-05T15:06:00.000","2024-01-05T15:06:00.000","427 Marlock Ridge in Austin (TX)","Stray","Normal","Cat","Unknown","1 year","Domestic Shorthair","Blue Tabby"
"A895868","Surfer Boy","2024-01-05T15:15:00.000","2024-01-05T15:15:00.000","8602 Karling Drive in Travis (TX)","Public Assist","Normal","Dog","Neutered Male","9 months","Labrador Retriever","Black"
"A895869","Sammy","2024-01-05T15:15:00.000","2024-01-05T15:15:00.000","8602 Karling Drive in Travis (TX)","Public Assist","Normal","Dog","Neutered Male","10 months","Labrador Retriever","Black"
"A836408","Poppy","2024-01-05T15:20:00.000","2024-01-05T15:20:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Spayed Female","2 years","Pointer Mix","Tricolor"
"A895884","Penny","2024-01-05T15:53:00.000","2024-01-05T15:53:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","1 year","Domestic Shorthair","Brown Tabby"
"A895893","Xena","2024-01-05T15:53:00.000","2024-01-05T15:53:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","2 years","Domestic Shorthair","Brown Tabby/White"
"A895886","Tolstoi","2024-01-05T16:28:00.000","2024-01-05T16:28:00.000","Knollwood Drive And Bee Cave Road in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","Miniature Poodle","White/Tan"
"A895890","Rey","2024-01-05T16:46:00.000","2024-01-05T16:46:00.000","1104 Christie Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair","Brown Tabby/White"
"A895888","A895888","2024-01-05T16:52:00.000","2024-01-05T16:52:00.000","Wilcox Ave And Brookswood Ave in Austin (TX)","Stray","Sick","Cat","Intact Male","2 years","Domestic Shorthair","Black"
"A895894","*Lacey","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","5 years","German Shepherd","Brown"
"A895895","*Chiffon","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","German Shepherd","Chocolate"
"A895896","*Chenille","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","German Shepherd","Black/Tan"
"A895897","*Georgette","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","Australian Shepherd","Chocolate/White"
"A895898","Winnie","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","German Shepherd","Tricolor"
"A895899","*Corduroy","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Male","4 weeks","German Shepherd","Brown"
"A895900","Juniper","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Male","4 weeks","Alaskan Husky","Black/White"
"A895901","Canelo","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Male","4 weeks","German Shepherd","Black"
"A895902","*Satin","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","German Shepherd","Black/White"
"A895903","*Velvet","2024-01-05T16:55:00.000","2024-01-05T16:55:00.000","Linden in Travis (TX)","Stray","Normal","Dog","Intact Female","4 weeks","German Shepherd","Brown/White"
"A895823","Exzatik","2024-01-05T17:13:00.000","2024-01-05T17:13:00.000","8704 Weiser Drive Unit B in Austin (TX)","Public Assist","Normal","Dog","Intact Male","1 year","Pit Bull","Brown"
"A895904",,"2024-01-05T18:00:00.000","2024-01-05T18:00:00.000","3300 Golden Aspen Loop in Travis (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair","Brown Tabby"
"A895905",,"2024-01-05T18:00:00.000","2024-01-05T18:00:00.000","3300 Golden Aspen Loop in Travis (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair","Brown Tabby"
"A895907","Cookie","2024-01-05T18:29:00.000","2024-01-05T18:29:00.000","14605 Allard in Travis (TX)","Stray","Normal","Dog","Intact Female","6 years","Norfolk Terrier Mix","Brown"
"A895908",,"2024-01-05T18:34:00.000","2024-01-05T18:34:00.000","1705 Frontier Valley in Austin (TX)","Stray","Sick","Dog","Intact Male","3 months","Pit Bull Mix","Brown/White"
"A895909",,"2024-01-05T20:56:00.000","2024-01-05T20:56:00.000","6000 Decker in Travis (TX)","Stray","Injured","Dog","Intact Male","2 years","German Shepherd Mix","Brown/Black"
"A895910","Mimi","2024-01-05T23:35:00.000","2024-01-05T23:35:00.000","85 Trinity St in Austin (TX)","Public Assist","Normal","Dog","Intact Female","2 years","Dachshund Mix","Black/Brown"
"A895925",,"2024-01-06T11:58:00.000","2024-01-06T11:58:00.000","508 East Howard Lane Trlr 5 in Austin (TX)","Stray","Medical","Cat","Unknown","4 years","Domestic Shorthair","Orange Tabby"
"A895926","Mingo","2024-01-06T12:27:00.000","2024-01-06T12:27:00.000","Travis (TX)","Owner Surrender","Injured","Cat","Intact Male","1 year","Domestic Shorthair","Black"
"A895932",,"2024-01-06T13:01:00.000","2024-01-06T13:01:00.000","13021 Dessau Road in Austin (TX)","Stray","Medical","Cat","Intact Male","5 years","Domestic Shorthair","White/Blue"
